과제,조모임,학점 비율,출결,시험 횟수,name,prof
많음,많음,학점느님,직접호명,없음,인생설계와진로,이의용
보통,보통,학점느님,직접호명,없음,인생설계와진로,우성식
많음,많음,비율 채워줌,지정좌석,없음,인생설계와진로,황동조
보통,보통,학점느님,직접호명,없음,인생설계와진로,이현기
많음,보통,학점느님,직접호명,없음,인생설계와진로,윤성혜
보통,많음,학점느님,직접호명,없음,인생설계와진로,함선욱
없음,보통,비율 채워줌,직접호명,두 번,커뮤니케이션기법,한희정
보통,많음,매우 깐깐함,직접호명,없음,몸으로표현하기(무용),이미하
많음,많음,학점느님,직접호명,없음,이미지로생각하기,이화
많음,보통,비율 채워줌,직접호명,두 번,부모연습,허영림
보통,많음,매우 깐깐함,직접호명,한 번,북한산트레일녹색자습,김종성
보통,보통,학점느님,직접호명,없음,자신있게말하기,조인숙
많음,많음,학점느님,직접호명,없음,자신있게말하기,이의용
보통,보통,학점느님,직접호명,없음,자신있게말하기,조수진
보통,보통,학점느님,직접호명,네 번 이상,자신있게말하기,한희정
많음,없음,학점느님,직접호명,없음,자신있게말하기,김은정
많음,많음,비율 채워줌,직접호명,없음,자신있게말하기,오정근
없음,보통,비율 채워줌,직접호명,두 번,전쟁과평화:다학문적접근,박휘락
보통,없음,학점느님,직접호명,없음,글로벌이니셔티브프로그램,하차진
없음,없음,학점느님,직접호명,세 번,e-Test,하차진
없음,없음,학점느님,직접호명,없음,춤으로문화읽기,문영
보통,없음,학점느님,직접호명,두 번,통일시대지성인으로서의역할,여현철
보통,보통,비율 채워줌,직접호명,없음,여대생커리어와리더십,하차진
보통,보통,학점느님,직접호명,없음,기업가정신과직무역량,하차진
보통,없음,학점느님,지정좌석,없음,융합특강,이장영
없음,없음,학점느님,직접호명,한 번,동양철학의이해,이근세
없음,보통,학점느님,직접호명,두 번,교육사회학,윤옥한
보통,보통,비율 채워줌,직접호명,두 번,교육심리학,박관성
보통,없음,매우 깐깐함,직접호명,두 번,교육철학및교육사,정혜진
없음,없음,비율 채워줌,반영안함,두 번,교육학개론,이기종
보통,보통,비율 채워줌,직접호명,한 번,교육과정,이윤옥
보통,없음,학점느님,직접호명,없음,교육방법및교육공학,정선영
없음,없음,학점느님,직접호명,두 번,교육행정및교육경영,김현진
없음,없음,비율 채워줌,직접호명,두 번,교직실무,김현진
보통,보통,비율 채워줌,직접호명,두 번,국어학개론,이수연
없음,없음,비율 채워줌,직접호명,두 번,국어학개론,윤희선
보통,없음,학점느님,직접호명,없음,사제동행세미나,서재길
없음,없음,비율 채워줌,직접호명,두 번,국어문법론,임근석
보통,없음,학점느님,직접호명,두 번,한문학강독,양현승
보통,없음,비율 채워줌,직접호명,한 번,한국문학과동아시아문학,정선태
보통,없음,매우 깐깐함,직접호명,두 번,현대시론,이철송
없음,없음,학점느님,직접호명,두 번,가사시조론,조흥욱
보통,없음,매우 깐깐함,직접호명,두 번,시창작및연습,이철송
보통,없음,비율 채워줌,직접호명,한 번,문예비평론,박진
보통,보통,매우 깐깐함,직접호명,두 번,문학과대중매체,서재길
보통,보통,학점느님,직접호명,두 번,영문학개론(2),정명희
없음,없음,비율 채워줌,직접호명,두 번,영문법입문,윤종열
없음,없음,학점느님,직접호명,없음,사제동행세미나,김태우
보통,없음,학점느님,직접호명,두 번,낭만주의이후영문학개관,정명희
없음,없음,비율 채워줌,직접호명,두 번,영어학개론,윤종열
없음,없음,학점느님,직접호명,두 번,통번역입문,피터리
없음,없음,학점느님,직접호명,두 번,고급영어독해,김태우
없음,없음,학점느님,직접호명,두 번,영국고전드라마,김태우
보통,없음,비율 채워줌,직접호명,한 번,영미비평,이일환
보통,보통,비율 채워줌,직접호명,두 번,영어회화(4),피터리
보통,보통,비율 채워줌,직접호명,두 번,영어작문(4),지니김
보통,보통,비율 채워줌,직접호명,두 번,영미문화특강,강서정
많음,많음,비율 채워줌,직접호명,두 번,현대미국소설,강규한
없음,없음,F 폭격기,직접호명,두 번,문학과번역,이일환
없음,없음,비율 채워줌,직접호명,두 번,한국계미국작가연구,이일환
보통,보통,비율 채워줌,직접호명,두 번,시사읽기와토론,김효영
보통,보통,비율 채워줌,직접호명,두 번,Business Communication(2),지니김
보통,없음,비율 채워줌,직접호명,두 번,기초중국어강독연습,정환종
보통,없음,비율 채워줌,직접호명,두 번,기초중국어강독연습,조휘만
보통,없음,비율 채워줌,직접호명,두 번,기초중국어강독연습,이규일
많음,없음,매우 깐깐함,직접호명,두 번,기초중국어청취,채춘옥
보통,없음,비율 채워줌,직접호명,두 번,기초중국어청취,초팽염
보통,없음,매우 깐깐함,직접호명,두 번,초급중국어회화(2),채춘옥
보통,보통,비율 채워줌,직접호명,두 번,초급중국어회화(2),초팽염
보통,보통,학점느님,직접호명,네 번 이상,초급중국어회화(2),채예령
많음,없음,비율 채워줌,직접호명,두 번,중국어교재연구및지도법,조휘만
보통,없음,비율 채워줌,직접호명,없음,사제동행세미나,채예령
보통,없음,비율 채워줌,직접호명,두 번,중·한통역연습,이설화
보통,보통,학점느님,직접호명,두 번,중국역대시가,박종혁
보통,없음,학점느님,직접호명,한 번,중국현대소설,강태권
없음,없음,학점느님,직접호명,두 번,중국어작문(2),전긍
보통,없음,학점느님,직접호명,두 번,중국어작문(2),채예령
보통,없음,학점느님,직접호명,한 번,중국역대산문,강태권
보통,없음,비율 채워줌,직접호명,두 번,한국근세사(1)(조선전기사),이근호
없음,없음,학점느님,반영안함,없음,사제동행세미나,장석흥
보통,없음,학점느님,직접호명,없음,사제동행세미나,문명기
보통,없음,비율 채워줌,직접호명,두 번,조선후기사특강,권기석
보통,보통,매우 깐깐함,직접호명,두 번,한국근현대원전읽기,김영미
보통,보통,비율 채워줌,반영안함,한 번,한국근현대사특강,장석흥
보통,없음,비율 채워줌,직접호명,한 번,고려시대사특강(캡스톤디자인),홍영의
많음,보통,비율 채워줌,직접호명,없음,동양사특강,문명기
보통,보통,학점느님,직접호명,두 번,서양사연습,고재백
없음,없음,비율 채워줌,직접호명,두 번,고고학개론,오용제
보통,없음,학점느님,직접호명,없음,역사교재연구및지도법,전우식
없음,없음,비율 채워줌,직접호명,두 번,한국사상문화사,김태훈
많음,없음,학점느님,직접호명,한 번,한국중세원전읽기,홍영의
보통,없음,학점느님,직접호명,한 번,한국사실습(2)(캡스톤디자인),장지영
많음,보통,매우 깐깐함,직접호명,한 번,교육공학,정선영
많음,보통,매우 깐깐함,직접호명,두 번,교육사회학,박지혜
많음,없음,비율 채워줌,직접호명,없음,특수교육세미나,양민화
보통,없음,학점느님,지정좌석,없음,평생교육경영론,송진휘
많음,없음,비율 채워줌,직접호명,한 번,윤리고전강독,정혜진
없음,보통,비율 채워줌,직접호명,두 번,교육평가론,나종민
없음,보통,학점느님,직접호명,한 번,평생교육방법론,윤옥한
보통,보통,학점느님,직접호명,두 번,도덕·윤리교과논리및논술,정혜진
없음,보통,비율 채워줌,직접호명,두 번,교육문제세미나,김현진
보통,없음,비율 채워줌,직접호명,두 번,초급중국어II,곡효여
보통,없음,학점느님,직접호명,없음,사제동행세미나,곡효여
보통,보통,학점느님,직접호명,두 번,실용중국어회화II,곡효여
보통,보통,비율 채워줌,직접호명,두 번,중국경제론,은종학
없음,없음,비율 채워줌,직접호명,두 번,중국과한반도의관계,윤경우
없음,보통,매우 깐깐함,직접호명,두 번,중국의기업과경영환경,은종학
많음,보통,비율 채워줌,직접호명,두 번,화교경제권의이해,문익준
없음,보통,학점느님,직접호명,두 번,러시아학개론,김상원
